Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_mean_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_mean_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_ci_upper_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_GPa,Young_Modulus_Graphene_Nanoplatelets_Glass_Fiber_mean_GPa,Young_Modulus_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_GPa,Young_Modulus_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Glass_Fiber_mean_GPa,Young_Modulus_Carbon_Fiber_Glass_Fiber_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Nanotubes_Glass_Fiber_mean_GPa,Young_Modulus_Carbon_Nanotubes_Glass_Fiber_ci_lower_GPa,Young_Modulus_Carbon_Nanotubes_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_GPa,Young_Modulus_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_mean_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_mean_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_upper_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_GPa,Young_Modulus_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_GPa
0.0000,0.0000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000,3.6000
0.0158,1.5789,4.2271,3.3533,5.1497,4.2393,3.3599,5.1661,6.1767,5.0311,7.2942,2.8007,2.3173,3.2873,1.2126,1.1639,1.2638,2.8000,2.3299,3.2896,3.7893,3.0677,4.5309,2.2919,1.9227,2.6700,1.6570,1.3556,1.9763,1.6529,1.3606,1.9668,1.5251,1.2587,1.8035
0.0316,3.1579,7.7407,5.9441,9.6206,7.7645,5.9658,9.6578,11.7058,9.3256,13.9926,4.7362,3.7785,5.7016,1.5482,1.4472,1.6544,4.7349,3.8030,5.7052,7.4594,5.9415,8.9837,4.2594,3.4916,5.0286,2.9501,2.3396,3.5866,2.9414,2.3533,3.5727,2.9921,2.4452,3.5597
0.0474,4.7368,11.3849,8.6307,14.2289,11.4198,8.6784,14.2895,17.2650,13.6265,20.7807,6.6646,5.2413,8.0985,1.9021,1.7468,2.0645,6.6625,5.2821,8.1019,11.2090,8.8669,13.5226,6.2400,5.0709,7.4049,4.2841,3.3610,5.2338,4.2706,3.3809,5.2214,4.4968,3.6585,5.3622
0.0632,6.3158,15.1242,11.3865,18.9348,15.1697,11.4714,19.0784,22.8202,17.9468,27.5424,8.5758,6.6981,10.4698,2.2710,2.0607,2.4910,8.5729,6.7548,10.4729,14.9936,11.8021,18.0937,8.2106,6.6431,9.7677,5.6414,4.4086,6.9077,5.6229,4.4332,6.8956,6.0119,4.8790,7.1784
0.0789,7.8947,18.9348,14.1735,23.7756,18.9908,14.2809,23.9302,28.3610,22.2257,34.3000,10.4660,8.1431,12.8176,2.6521,2.3879,2.9296,10.4624,8.2116,12.8136,18.7967,14.7680,22.7371,10.1634,8.1998,12.1162,7.0122,5.4611,8.5931,6.9886,5.4953,8.5814,7.5272,6.1000,8.9844
0.0947,9.4737,22.8003,16.9959,28.6645,22.8664,17.1432,28.8488,33.8831,26.4886,41.0311,12.3335,9.5727,15.1359,3.0432,2.7233,3.3782,12.3291,9.6531,15.1273,22.6093,17.7196,27.3834,12.0953,9.7367,14.4363,8.3904,6.5184,10.2922,8.3614,6.5575,10.2677,9.0380,7.3203,10.7890
0.1105,11.0526,26.7087,19.8761,33.5893,26.7849,20.0186,33.8092,39.3844,30.7365,47.7093,14.1774,10.9817,17.4188,3.4426,3.0679,3.8338,14.1722,11.0833,17.4117,26.4262,20.6974,32.0123,14.0046,11.2586,16.7237,9.7715,7.5848,11.9776,9.7370,7.6240,11.9659,10.5417,8.5328,12.5753
0.1263,12.6316,30.6513,22.7267,38.5855,30.7374,22.9029,38.8330,44.8637,34.9843,54.3740,15.9972,12.3742,19.6671,3.8489,3.4199,4.2941,15.9911,12.4870,19.6620,30.2436,23.6360,36.6429,15.8905,12.7616,18.9814,11.1522,8.6430,13.6701,11.1123,8.6888,13.6616,12.0363,9.7435,14.3557
0.1421,14.2105,34.6215,25.6114,43.6014,34.7174,25.7982,43.8904,50.3202,39.2122,61.0235,17.7925,13.7504,21.8769,4.2609,3.7810,4.7580,17.7855,13.8727,21.8779,34.0589,26.6149,41.2953,17.7526,14.2387,21.2194,12.5302,9.6972,15.3612,12.4846,9.7512,15.3554,13.5207,10.9404,16.1410
0.1579,15.7895,38.6143,28.5203,48.6472,38.7199,28.7125,49.0079,55.7534,43.4011,67.6778,19.5631,15.1096,24.0604,4.6776,4.1489,5.2242,19.5552,15.2490,24.0619,37.8699,29.5982,45.9344,19.5905,15.7059,23.4259,13.9035,10.7605,17.0644,13.8523,10.8183,17.0430,14.9940,12.1337,17.9090
0.1737,17.3684,42.6256,31.4059,53.7204,42.7409,31.6121,54.0670,61.1631,47.5687,74.2978,21.3087,16.4519,26.2137,5.0983,4.5161,5.6955,21.2999,16.6053,26.2115,41.6750,32.5655,50.5721,21.4042,17.1494,25.6051,15.2705,11.8056,18.7603,15.2136,11.8753,18.7058,16.4555,13.3156,19.6696
0.1895,18.9474,46.6523,34.2918,58.9054,46.7772,34.5367,59.2198,66.5490,51.7190,80.8803,23.0293,17.7768,28.3293,5.5222,4.8903,6.1690,23.0195,17.9404,28.3296,45.4730,35.5447,55.1948,23.1935,18.5805,27.7507,16.6299,12.8435,20.4213,16.5673,12.9160,20.3678,17.9048,14.4943,21.4004
0.2053,20.5263,50.6918,37.2449,63.9793,50.8263,37.4753,64.3618,71.9108,55.8614,87.4270,24.7246,19.0779,30.4119,5.9487,5.2680,6.6420,24.7139,19.2497,30.4195,49.2628,38.4784,59.8063,24.9584,19.9824,29.8666,17.9808,13.8732,22.0808,17.9125,13.9487,22.0169,19.3413,15.6579,23.1150
