Volume_Fraction,Volume_Fraction_Percent,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,2.0464,0.8285,4.3070,2.1043,0.8031,4.7787,13.6702,5.8342,20.6498,2.2525,0.9885,4.9509,0.2500,0.2500,0.2500,2.1325,0.9569,4.6018,7.5290,2.3915,13.9125,7.6282,2.9468,13.1709,1.4997,0.6260,2.8959,1.4510,0.5479,2.9391,4.5566,1.4807,10.1390
0.0316,3.1579,4.1256,1.6701,8.6830,4.2422,1.6191,9.6341,33.8610,23.6596,43.0738,4.5412,1.9929,9.9812,0.2500,0.2500,0.2500,4.2992,1.9290,9.2774,22.0723,9.6548,29.2736,22.0973,11.8971,29.0358,3.0152,1.2586,5.8227,2.9174,1.1016,5.9094,14.6655,5.9642,21.1751
0.0474,4.7368,6.2384,2.5254,13.1297,6.4147,2.4482,14.5679,52.7708,44.3143,64.6106,6.8668,3.0135,15.0928,0.2500,0.2500,0.2500,6.5010,2.9169,14.0286,35.5045,21.9259,45.3237,35.5657,25.8071,43.5781,4.5470,1.8980,8.7807,4.3994,1.6612,8.9115,25.2135,13.5143,32.0765
0.0632,6.3158,8.3925,3.3947,17.6490,8.6226,3.2908,19.5821,70.4876,59.2356,86.1474,9.2303,4.0507,20.2877,0.2500,0.2500,0.2500,8.7386,3.9209,18.8572,47.9079,37.6844,60.4315,48.1447,37.7704,58.1041,6.0953,2.5442,11.7705,5.8974,2.2268,11.9458,35.4603,24.1959,43.7952
0.0789,7.8947,10.7072,4.2782,22.2626,10.9329,4.2527,24.6787,88.1094,74.0445,107.6842,11.6327,5.1050,25.5679,0.2525,0.2500,0.2862,11.0129,4.9414,23.7651,60.2638,49.9306,75.5394,60.4156,49.5751,72.6301,7.6603,3.1974,14.7926,7.4115,2.7985,15.0129,45.4250,36.3875,54.7439
0.0947,9.4737,13.6895,5.6727,29.5128,13.9207,5.6325,31.7810,105.7313,88.8534,129.2210,14.0749,6.1767,30.9357,0.2676,0.2500,0.3459,13.3250,5.9787,28.7544,72.3229,59.9167,90.6472,72.4987,59.4901,87.1561,9.2423,3.8578,17.8475,8.9422,3.3764,18.1134,54.9675,44.1574,65.6927
0.1105,11.0526,17.8708,7.7003,40.7986,18.0874,7.1721,42.1601,123.3531,103.6622,150.7578,16.5578,7.2663,36.3931,0.2967,0.2500,0.4066,15.6756,7.0334,33.8270,84.4260,69.9289,105.7550,84.5818,69.4051,101.6821,10.9481,4.5253,20.9359,10.5790,3.9606,22.3117,64.2004,51.5170,76.6415
0.1263,12.6316,23.2919,9.9207,54.1407,23.5834,9.1691,55.9454,140.9749,118.4710,172.2945,19.0826,8.3743,41.9425,0.3359,0.2500,0.4683,18.0659,8.1059,38.9850,96.7707,79.9187,121.1423,96.6649,79.3201,116.2081,12.9184,5.4528,25.1714,12.4176,4.7668,25.6391,73.4516,58.8765,87.5902
0.1421,14.2105,29.8156,12.3860,69.6377,30.2116,11.7922,71.9569,158.5967,133.2799,193.8313,21.6503,9.5011,47.5862,0.3794,0.2556,0.5310,20.4968,9.1966,44.2307,109.5454,90.1444,137.0194,108.7480,89.2351,130.7341,15.3066,6.5570,30.2305,14.7126,5.6549,29.6478,82.7817,66.9203,98.5390
