Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_HT_mean_GPa,Young_Modulus_HT_ci_lower_GPa,Young_Modulus_HT_ci_upper_GPa,Enhancement_Factor
0.0000,0.0000,1.8000,1.8000,1.8000,0.5000
0.0158,1.5789,2.5138,2.3545,2.6913,0.6983
0.0316,3.1579,3.2413,2.9211,3.5974,0.9004
0.0474,4.7368,3.9830,3.5002,4.5181,1.1064
0.0632,6.3158,4.7392,4.0932,5.4557,1.3164
0.0789,7.8947,5.5104,4.7000,6.4097,1.5307
0.0947,9.4737,6.2971,5.3206,7.3814,1.7492
0.1105,11.0526,7.0997,5.9530,8.3690,1.9721
0.1263,12.6316,7.9187,6.6029,9.3750,2.1996
0.1421,14.2105,8.7546,7.2683,10.3994,2.4318
0.1579,15.7895,9.6080,7.9465,11.4424,2.6689
0.1737,17.3684,10.4794,8.6397,12.5064,2.9109
0.1895,18.9474,11.3694,9.3510,13.5905,3.1582
0.2053,20.5263,12.2786,10.0825,14.6916,3.4107
0.2211,22.1053,13.2077,10.8284,15.8187,3.6688
0.2368,23.6842,14.1573,11.6021,16.9701,3.9326
0.2526,25.2632,15.1281,12.3927,18.1411,4.2022
0.2684,26.8421,16.1207,13.1987,19.3434,4.4780
0.2842,28.4211,17.1361,14.0243,20.5616,4.7600
0.3000,30.0000,18.1750,14.8715,21.7944,5.0486
