Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_HT_mean_GPa,Young_Modulus_HT_ci_lower_GPa,Young_Modulus_HT_ci_upper_GPa,Enhancement_Factor
0.0000,0.0000,1.8000,1.8000,1.8000,0.5000
0.0158,1.5789,8.7649,7.0865,10.3753,2.4347
0.0316,3.1579,15.7566,12.3958,18.9778,4.3768
0.0474,4.7368,22.7754,17.7281,27.6078,6.3265
0.0632,6.3158,29.8215,23.0837,36.2653,8.2837
0.0789,7.8947,36.8949,28.4626,44.9505,10.2486
0.0947,9.4737,43.9960,33.8650,53.6635,12.2211
0.1105,11.0526,51.1248,39.2911,62.4044,14.2013
0.1263,12.6316,58.2815,44.7412,71.1734,16.1893
0.1421,14.2105,65.4664,50.2152,79.9707,18.1851
0.1579,15.7895,72.6796,55.7135,88.7963,20.1888
0.1737,17.3684,79.9214,61.2363,97.6504,22.2004
0.1895,18.9474,87.1918,66.7836,106.5331,24.2199
0.2053,20.5263,94.4911,72.3557,115.4446,26.2475
0.2211,22.1053,101.8195,77.9528,124.3850,28.2832
0.2368,23.6842,109.1772,83.5750,133.3545,30.3270
0.2526,25.2632,116.5643,89.2226,142.3532,32.3790
0.2684,26.8421,123.9812,94.8957,151.3812,34.4392
0.2842,28.4211,131.4279,100.5946,160.4492,36.5077
0.3000,30.0000,138.9047,106.3194,169.5901,38.5846
