Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_HT_mean_GPa,Young_Modulus_HT_ci_lower_GPa,Young_Modulus_HT_ci_upper_GPa,Enhancement_Factor
0.0000,0.0000,1.8000,1.8000,1.8000,0.5000
0.0158,1.5789,2.1366,2.0922,2.1813,0.5935
0.0316,3.1579,2.4773,2.3883,2.5667,0.6881
0.0474,4.7368,2.8221,2.6885,2.9561,0.7839
0.0632,6.3158,3.1711,2.9927,3.3495,0.8809
0.0789,7.8947,3.5244,3.3012,3.7472,0.9790
0.0947,9.4737,3.8820,3.6139,4.1491,1.0783
0.1105,11.0526,4.2441,3.9311,4.5553,1.1789
0.1263,12.6316,4.6107,4.2527,4.9661,1.2807
0.1421,14.2105,4.9819,4.5788,5.3814,1.3839
0.1579,15.7895,5.3578,4.9089,5.8013,1.4883
0.1737,17.3684,5.7385,5.2436,6.2259,1.5940
0.1895,18.9474,6.1240,5.5830,6.6566,1.7011
0.2053,20.5263,6.5146,5.9272,7.0949,1.8096
0.2211,22.1053,6.9102,6.2763,7.5388,1.9195
0.2368,23.6842,7.3110,6.6304,7.9884,2.0308
0.2526,25.2632,7.7171,6.9897,8.4439,2.1436
0.2684,26.8421,8.1285,7.3541,8.9053,2.2579
0.2842,28.4211,8.5455,7.7239,9.3729,2.3737
0.3000,30.0000,8.9680,8.0991,9.8466,2.4911
