Volume_Fraction,Volume_Fraction_Percent,Thermal_Conductivity_Carbon_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_ci_upper_WperMk,Thermal_Conductivity_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Nanotubes_ci_upper_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.3374,0.3306,0.3450,1.7968,1.5924,1.9921,0.2500,0.2500,0.2500,1.4063,1.1983,1.5806
0.0316,3.1579,0.4447,0.4243,0.4631,4.7790,4.0765,5.3537,0.2500,0.2500,0.2500,3.5283,2.9577,3.9811
0.0474,4.7368,0.5733,0.5379,0.6111,9.2535,7.7565,10.5279,0.2500,0.2500,0.2500,6.5754,5.5951,7.4534
0.0632,6.3158,0.7202,0.6674,0.7726,15.3003,13.0260,17.4985,0.2500,0.2500,0.2500,10.8382,8.9640,12.7326
0.0789,7.8947,0.8925,0.8139,0.9861,22.5386,19.0839,25.7981,0.2507,0.2500,0.2528,15.9340,12.7198,18.8199
0.0947,9.4737,1.1012,0.9715,1.2111,31.2862,24.6938,36.2359,0.2543,0.2500,0.2976,22.0042,18.3119,25.4238
0.1105,11.0526,1.3035,1.1308,1.4322,42.1560,35.3381,49.5241,0.2661,0.2500,0.3411,28.6737,23.6661,34.1739
0.1263,12.6316,1.5395,1.3109,1.7250,54.4260,43.2125,66.3296,0.2890,0.2500,0.3551,36.8981,31.4639,43.2072
0.1421,14.2105,1.8053,1.5870,2.0613,67.6036,54.0702,81.4636,0.3161,0.2523,0.3708,45.4938,36.1775,54.1840
0.1579,15.7895,2.0861,1.8402,2.3876,82.3688,65.6335,97.4176,0.3413,0.2752,0.3857,54.7804,43.4140,63.1739
0.1737,17.3684,2.3715,2.0062,2.6737,98.4592,78.0276,117.3738,0.3637,0.3006,0.3995,65.0751,54.5066,78.2223
0.1895,18.9474,2.7201,2.3285,3.0880,116.0424,94.2119,136.7271,0.3823,0.3265,0.4181,79.7552,65.8339,92.9884
0.2053,20.5263,3.0873,2.6107,3.5931,135.3719,110.5735,164.1444,0.3976,0.3508,0.4354,92.5421,73.7293,107.9384
0.2211,22.1053,3.4598,2.9660,3.9366,155.6543,123.3500,186.2516,0.4117,0.3663,0.4541,106.3130,87.4757,124.5160
0.2368,23.6842,3.8389,3.1551,4.3395,176.2861,143.8893,208.1981,0.4248,0.3773,0.4686,120.3561,98.8530,143.5328
0.2526,25.2632,4.2379,3.3719,5.0195,201.3187,163.6867,243.3724,0.4373,0.3928,0.4833,137.5301,117.1455,159.0971
0.2684,26.8421,4.7752,3.7858,5.4841,225.7952,182.0918,276.5903,0.4493,0.4018,0.5062,150.7536,122.7824,177.5872
0.2842,28.4211,5.1099,4.3414,5.9637,253.9672,211.4107,295.3157,0.4611,0.4107,0.5228,170.1554,137.6193,211.2732
0.3000,30.0000,5.6156,4.7530,6.5267,277.5909,216.4775,336.6392,0.4728,0.4196,0.5380,187.9830,153.4961,225.3490
