Combination,Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_GPa,Young_Modulus_ci_lower,Young_Modulus_ci_upper,Thermal_Conductivity_WperMk,Thermal_Conductivity_ci_lower,Thermal_Conductivity_ci_upper,Enhancement_Factor
Carbon Fiber+Graphene Nanoplatelets,0.050,5.000,11.385,8.631,14.229,6.597,2.791,13.373,3.162
Carbon Fiber+Graphene Nanoplatelets,0.100,10.000,22.800,16.996,28.665,14.593,5.916,30.534,6.333
Carbon Fiber+Graphene Nanoplatelets,0.150,15.000,34.622,25.611,43.601,31.899,11.897,69.511,9.617
Carbon Fiber+Graphene Nanoplatelets,0.200,20.000,50.692,37.245,63.979,71.063,26.360,155.040,14.081
Carbon Fiber+Graphene Nanoplatelets,0.250,25.000,62.868,45.983,79.466,113.300,42.047,247.370,17.463
Carbon Fiber+Graphene Nanoplatelets,0.300,30.000,75.104,54.739,95.087,168.089,62.509,366.656,20.862
Carbon Fiber+Carbon Nanotubes,0.050,5.000,11.420,8.678,14.290,6.556,2.773,13.369,3.172
Carbon Fiber+Carbon Nanotubes,0.100,10.000,22.866,17.143,28.849,14.501,6.004,29.910,6.352
Carbon Fiber+Carbon Nanotubes,0.150,15.000,34.717,25.798,43.890,31.706,12.006,67.556,9.644
Carbon Fiber+Carbon Nanotubes,0.200,20.000,50.826,37.475,64.362,70.488,26.643,150.569,14.118
Carbon Fiber+Carbon Nanotubes,0.250,25.000,63.031,46.220,79.916,111.603,42.507,232.043,17.509
Carbon Fiber+Carbon Nanotubes,0.300,30.000,75.295,55.115,95.658,163.051,63.236,304.995,20.915
Graphene Nanoplatelets+Carbon Nanotubes,0.050,5.000,17.265,13.627,20.781,53.497,42.112,64.624,4.796
Graphene Nanoplatelets+Carbon Nanotubes,0.100,10.000,33.883,26.489,41.031,107.630,87.000,129.249,9.412
Graphene Nanoplatelets+Carbon Nanotubes,0.150,15.000,50.320,39.212,61.023,161.480,130.536,193.873,13.978
Graphene Nanoplatelets+Carbon Nanotubes,0.200,20.000,71.911,55.861,87.427,233.251,188.552,280.038,19.975
Graphene Nanoplatelets+Carbon Nanotubes,0.250,25.000,87.850,68.137,106.970,287.077,232.064,344.661,24.403
Graphene Nanoplatelets+Carbon Nanotubes,0.300,30.000,103.569,80.151,126.207,340.904,275.576,409.284,28.769
Graphene Nanoplatelets+Glass Fiber,0.050,5.000,6.665,5.241,8.099,6.572,2.791,13.298,1.851
Graphene Nanoplatelets+Glass Fiber,0.100,10.000,12.333,9.573,15.136,13.470,5.721,27.257,3.426
Graphene Nanoplatelets+Glass Fiber,0.150,15.000,17.792,13.750,21.877,20.719,8.800,41.928,4.942
Graphene Nanoplatelets+Glass Fiber,0.200,20.000,24.725,19.078,30.412,30.981,13.158,62.693,6.868
Graphene Nanoplatelets+Glass Fiber,0.250,25.000,29.659,22.887,36.490,39.164,16.633,79.252,8.239
Graphene Nanoplatelets+Glass Fiber,0.300,30.000,34.363,26.523,42.280,47.802,20.302,96.733,9.545
Carbon Fiber+Glass Fiber,0.050,5.000,1.902,1.747,2.064,0.250,0.250,0.250,0.528
Carbon Fiber+Glass Fiber,0.100,10.000,3.043,2.723,3.378,0.270,0.250,0.365,0.845
Carbon Fiber+Glass Fiber,0.150,15.000,4.261,3.781,4.758,0.384,0.254,0.561,1.184
Carbon Fiber+Glass Fiber,0.200,20.000,5.949,5.268,6.642,0.573,0.378,0.837,1.652
Carbon Fiber+Glass Fiber,0.250,25.000,7.239,6.424,8.079,0.723,0.477,1.058,2.011
Carbon Fiber+Glass Fiber,0.300,30.000,8.539,7.588,9.519,0.882,0.581,1.290,2.372
Carbon Nanotubes+Glass Fiber,0.050,5.000,6.663,5.282,8.102,6.550,2.743,13.418,1.851
Carbon Nanotubes+Glass Fiber,0.100,10.000,12.329,9.653,15.127,13.425,5.621,27.504,3.425
Carbon Nanotubes+Glass Fiber,0.150,15.000,17.786,13.873,21.878,20.650,8.647,42.307,4.940
Carbon Nanotubes+Glass Fiber,0.200,20.000,24.714,19.250,30.420,30.877,12.929,63.260,6.865
Carbon Nanotubes+Glass Fiber,0.250,25.000,29.645,23.069,36.499,39.032,16.344,79.968,8.235
