Combination,5.00,10.00,15.00,20.00,25.00,30.00
Carbon Fiber+Carbon Nanotubes,11.59,23.21,35.23,51.56,63.94,76.37
Carbon Fiber+Carbon Nanotubes+Glass Fiber,4.31,8.45,12.63,18.13,22.15,26.08
Carbon Fiber+Glass Fiber,1.92,3.07,4.31,6.02,7.33,8.65
Carbon Fiber+Graphene Nanoplatelets,11.49,23.03,34.98,51.23,63.55,75.92
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,11.23,22.65,34.11,49.32,60.63,71.85
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,4.46,8.94,13.36,19.10,23.27,27.32
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,4.27,8.36,12.49,17.93,21.92,25.80
Carbon Nanotubes+Glass Fiber,6.63,12.26,17.69,24.59,29.50,34.18
Graphene Nanoplatelets+Carbon Nanotubes,17.21,33.79,50.20,71.75,87.67,103.36
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,6.22,12.06,17.69,24.87,30.00,34.92
Graphene Nanoplatelets+Glass Fiber,6.61,12.23,17.65,24.52,29.42,34.08
