Combination,5.000,10.000,15.000,20.000,25.000,30.000
Carbon Fiber+Carbon Nanotubes,6.556,14.501,31.706,70.488,111.603,163.051
Carbon Fiber+Carbon Nanotubes+Glass Fiber,4.325,8.801,14.465,29.143,45.509,66.250
Carbon Fiber+Glass Fiber,0.250,0.270,0.384,0.573,0.723,0.882
Carbon Fiber+Graphene Nanoplatelets,6.597,14.593,31.899,71.063,113.300,168.089
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,34.823,71.699,108.655,164.279,210.504,260.248
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,24.912,53.569,80.766,118.490,149.716,183.223
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,4.337,8.823,14.489,29.257,45.724,66.678
Carbon Nanotubes+Glass Fiber,6.550,13.425,20.650,30.877,39.032,47.642
Graphene Nanoplatelets+Carbon Nanotubes,53.497,107.630,161.480,233.251,287.077,340.904
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,34.718,71.598,107.541,155.357,191.210,227.061
Graphene Nanoplatelets+Glass Fiber,6.572,13.470,20.719,30.981,39.164,47.802
